,color
HP:0000512,11
HP:0000691,3
HP:0001344,7
HP:0002816,15
HP:0004345,13
HP:0004422,3
HP:0005105,3
HP:0007281,7
HP:0011020,13
HP:0000269,3
HP:0000364,22
HP:0001061,9
HP:0001646,5
HP:0003272,15
HP:0004349,15
HP:0008818,15
HP:0002333,7
HP:0004343,13
HP:0007272,7
HP:0000010,1
HP:0000160,3
HP:0000217,3
HP:0000225,3
HP:0000230,3
HP:0000790,1
HP:0000934,15
HP:0001000,9
HP:0001025,9
HP:0001053,9
HP:0001072,9
HP:0001394,17
HP:0001637,5
HP:0001697,5
HP:0001701,5
HP:0002034,17
HP:0002091,4
HP:0002113,4
HP:0002239,5
HP:0002354,7
HP:0002575,4
HP:0002577,17
HP:0002754,15
HP:0002793,4
HP:0002797,15
HP:0002960,16
HP:0003326,2
HP:0004326,0
HP:0004378,17
HP:0012718,17
HP:0012722,5
HP:0012735,4
HP:0100261,15
HP:0100526,4
HP:0100579,9
HP:0100614,16
HP:0100639,1
HP:0100749,7
HP:0100758,13
HP:0100825,3
HP:0000028,1
HP:0000717,7
HP:0000966,9
HP:0007018,7
HP:0001004,13
HP:0001789,23
HP:0001840,15
HP:0002103,4
HP:0004607,15
HP:0005019,15
HP:0010655,15
HP:0012368,3
HP:0100026,5
HP:0100625,15
HP:0000137,1
HP:0000837,7
HP:0000879,15
HP:0001510,0
HP:0001511,0
HP:0002967,15
HP:0003492,21
HP:0006610,14
HP:0006709,14
HP:0008209,1
HP:0008222,1
HP:0008897,0
HP:0012774,0
HP:0040073,15
HP:0000403,22
HP:0000465,3
HP:0000474,3
HP:0000475,3
HP:0000739,7
HP:0000758,7
HP:0000786,1
HP:0001952,13
HP:0000869,1
HP:0000872,21
HP:0000914,15
HP:0001328,7
HP:0001397,17
HP:0001531,0
HP:0001800,9
HP:0002162,3
HP:0002705,3
HP:0002910,17
HP:0005113,5
HP:0005689,9
HP:0006438,15
HP:0006456,15
HP:0007477,9
HP:0009759,15
HP:0010044,15
HP:0010047,15
HP:0010510,15
HP:0000085,1
HP:0000476,3
HP:0000545,11
HP:0000842,21
HP:0000987,9
HP:0000995,9
HP:0001045,9
HP:0001231,9
HP:0001395,17
HP:0001596,9
HP:0001631,5
HP:0001647,5
HP:0001657,5
HP:0001680,5
HP:0001812,9
HP:0001831,15
HP:0002608,16
HP:0002611,17
HP:0003067,15
HP:0003186,14
HP:0003764,9
HP:0005603,9
HP:0003077,13
HP:0008572,22
HP:0009118,3
HP:0011307,15
HP:0012434,7
HP:0100646,21
HP:0000150,1
HP:0000471,5
HP:0002037,16
HP:0002613,17
HP:0002647,5
HP:0002861,8
HP:0004383,5
HP:0004386,16
HP:0005294,5
HP:0008678,1
HP:0012758,7
HP:0002066,7
HP:0002070,7
HP:0002141,7
HP:0003487,7
HP:0009130,2
HP:0010831,7
HP:0000570,11
HP:0001310,7
HP:0001638,5
HP:0001760,24
HP:0001761,24
HP:0002080,7
HP:0002522,7
HP:0002527,7
HP:0002839,1
HP:0003390,7
HP:0007010,7
HP:0010873,7
HP:0030183,22
HP:0001332,7
HP:0002540,7
HP:0002546,7
HP:0003431,7
HP:0007663,11
HP:0000044,1
HP:0000924,15
HP:0000929,3
HP:0001081,17
HP:0001873,10
HP:0001935,10
HP:0004370,13
HP:0004936,10
HP:0011031,13
HP:0011902,10
HP:0000952,9
HP:0001971,16
HP:0010978,16
HP:0001738,17
HP:0004313,10
HP:0003100,15
HP:0001644,5
HP:0001315,7
HP:0006785,2
HP:0000912,15
HP:0001771,2
HP:0002515,7
HP:0002987,2
HP:0003141,13
HP:0003306,15
HP:0003418,7
HP:0003458,2
HP:0003691,15
HP:0003805,2
HP:0004631,15
HP:0008948,2
HP:0008956,2
HP:0008994,2
HP:0008997,2
HP:0011807,2
HP:0030117,2
HP:0040083,7
HP:0005115,5
HP:0009125,6
HP:0001605,7
HP:0005155,5
HP:0000091,1
HP:0000100,1
HP:0000298,3
HP:0000377,22
HP:0000411,22
HP:0000597,11
HP:0000662,11
HP:0000725,7
HP:0000829,21
HP:0000830,7
HP:0000836,21
HP:0000853,21
HP:0001012,8
HP:0001103,11
HP:0001123,11
HP:0001716,5
HP:0004942,5
HP:0001733,16
HP:0001969,1
HP:0002039,17
HP:0002069,7
HP:0002076,7
HP:0002104,4
HP:0002119,7
HP:0002120,7
HP:0002150,1
HP:0002151,13
HP:0002269,7
HP:0002381,7
HP:0002401,7
HP:0002578,2
HP:0002637,7
HP:0002804,15
HP:0003128,13
HP:0003200,2
HP:0003287,13
HP:0003401,7
HP:0003737,2
HP:0005214,17
HP:0007360,7
HP:0007420,9
HP:0008207,21
HP:0012377,11
HP:0100576,11
HP:0100613,19
HP:0100820,1
HP:0000499,3
HP:0008046,11
HP:0100540,3
HP:0000590,11
HP:0001709,5
HP:0004622,15
HP:0001270,7
HP:0001374,15
HP:0001388,15
HP:0001762,24
HP:0001989,23
HP:0002047,13
HP:0003388,7
HP:0003552,2
HP:0003749,2
HP:0003798,2
