"377","PTCH1"
"377","SUFU"
"377","PTCH2"
"648","RRAS"
"648","PTPN11"
"648","BRAF"
"648","SOS1"
"648","KRAS"
"648","RAF1"
"648","NRAS"
"648","KAT6B"
"648","RIT1"
"648","LZTR1"
"648","A2ML1"
"648","RASA2"
"648","SOS2"
"281","SEMA5A"
"281","CTNND2"
"752","HSD17B3"
"510","HPRT1"
"524","CDKN2A"
"524","TP53"
"524","MDM2"
"524","CHEK2"
"640","PMP22"
"640","PMP22"
"60","SERPINA1"
"895","KITLG"
"895","SNAI2"
"895","SOX10"
"895","MITF"
"895","EDNRB"
"896","PAX3"
"857","SALL1"
"857","DACT1"
"894","PAX3"
"682","SCN4A"
"800","HSPG2"
"628","SLC26A2"
"681","SCN4A"
"681","CACNA1S"
"681","KCNE3"
"107","SIX1"
"107","EYA1"
"107","SIX5"
"774","ACVRL1"
"774","SMAD4"
"774","ENG"
"774","GDF2"
"794","FGFR3"
"794","FGFR2"
"794","TWIST1"
"2869","STK11"
"893","BDNF"
"893","WT1"
"893","PAX6"
"912","PEX11B"
"912","PEX2"
"912","PEX1"
"912","PEX10"
"912","PEX12"
"912","PEX13"
"912","PEX14"
"912","PEX16"
"912","PEX19"
"912","PEX26"
"912","PEX3"
"912","PEX5"
"912","PEX6"
"53","CLCN7"
"14","MTTP"
"167","LYST"
"207","FGFR2"
"207","ERF"
"201","PTEN"
"201","PIK3CA"
"201","SDHB"
"201","SDHD"
"201","SDHC"
"201","SEC23B"
"201","AKT1"
"201","KLLN"
"192","RPS6KA3"
"169808","F8"
"169802","F8"
"169805","F8"
"562","GNAS"
"565","ATP7A"
"474","DYNC2LI1"
"474","IFT80"
"474","DYNC2H1"
"474","TTC21B"
"474","WDR19"
"474","IFT140"
"474","WDR60"
"474","IFT172"
"474","WDR34"
"474","CEP120"
"540","PRF1"
"540","STX11"
"540","UNC13D"
"540","STXBP2"
"568","BCOR"
"568","NAA10"
"564","CEP55"
"564","TMEM107"
"564","RPGRIP1"
"564","CEP290"
"564","TMEM67"
"564","MKS1"
"564","RPGRIP1L"
"564","CC2D2A"
"564","TMEM216"
"564","WDPCP"
"564","TCTN2"
"564","B9D1"
"564","B9D2"
"564","TMEM231"
"564","CSPP1"
"289","DYNC2LI1"
"289","GLI1"
"289","EVC"
"289","EVC2"
"258","LAMA2"
"1646","USP9Y"
"1646","DAZ1"
"1646","DAZ2"
"1646","DAZ3"
"1646","DAZ4"
"1646","DDX3Y"
"1646","RBMY1A1"
"1646","TSPY1"
"169464","CD59"
"87","FGFR2"
"169615","KISS1R"
"169615","MKRN3"
"169615","DLK1"
"97","CACNA1A"
"169467","CFD"
"313","SULT2B1"
"313","SDR9C7"
"313","ABCA12"
"313","ALOX12B"
"313","ALOXE3"
"313","TGM1"
"313","CYP4F22"
"313","NIPAL4"
"313","LIPN"
"169799","F9"
"169796","F9"
"169793","F9"
"171430","ACTA1"
"171430","NEB"
"171430","KLHL40"
"171430","KLHL41"
"171430","LMOD3"
"171433","TPM3"
"171433","ACTA1"
"171433","NEB"
"171433","KLHL41"
"171436","ACTA1"
"171436","CFL2"
"171436","TPM2"
"171436","NEB"
"171436","KLHL41"
"171436","LMOD3"
"171439","TPM2"
"171439","MYPN"
"171439","ACTA1"
"171439","TPM3"
"171439","NEB"
"171439","KBTBD13"
"171439","KLHL41"
"171445","FLNC"
"171607","SPG34"
"2771","PLOD2"
"2771","FKBP10"
"171612","SPG37"
"171617","SPG38"
"1349","MT-TK"
"171622","SPG32"
"171629","FA2H"
"861","TCOF1"
"861","POLR1D"
"861","POLR1C"
"308","CSTB"
"308","SCARB2"
"308","PRICKLE1"
"199","SMC1A"
"199","NIPBL"
"199","SMC3"
"199","HDAC8"
"199","RAD21"
"199","KMT2A"
"199","SETD5"
"930","CRLF1"
"930","HLA-DQA1"
"930","HLA-DQB1"
"930","NOS1"
"171215","MYH14"
"1727","TBX1"
"169079","NHEJ1"
"169100","IL2RA"
"169095","FOXN1"
"169082","CD3G"
"169085","CD8A"
"168829","BRCA1"
"753","SRD5A2"
"868","TPI1"
"218","ATP2A2"
"168796","LMNA"
"1465","ARID2"
"1465","SMARCB1"
"1465","SMARCA4"
"1465","ARID1B"
"1465","ARID1A"
"1465","SMARCE1"
"1465","SOX11"
"1465","DPF2"
"1465","SMARCC2"
"168953","FGFR1"
"168950","PDGFRB"
"168947","PDGFRA"
"168940","FIP1L1"
"168940","PDGFRA"
"2609","TMEM126B"
"2609","TIMMDC1"
"2609","NDUFB11"
"2609","NDUFA6"
"2609","MT-ND1"
"2609","MT-ND2"
"2609","MT-ND3"
"2609","NDUFAF2"
"2609","NDUFS1"
"2609","NDUFS2"
"2609","NDUFS3"
"2609","NDUFS4"
"2609","NDUFS6"
"2609","NDUFS7"
"2609","NDUFS8"
"2609","NDUFV1"
"2609","NDUFV2"
"2609","NDUFA1"
"2609","NDUFAF4"
"2609","NDUFAF5"
"2609","NDUFA11"
"2609","NDUFAF3"
"2609","NUBPL"
"2609","FOXRED1"
"2609","NDUFAF1"
"2609","NDUFB9"
"2609","NDUFB3"
"2609","NDUFB10"
"626","MC1R"
"626","NRAS"
"773","PHYH"
"773","PEX7"
"169154","IL7R"
"169150","C5"
"169150","C6"
"169150","C7"
"169150","C8A"
"169150","C8B"
"169150","C8G"
"169150","C9"
"169160","CD3D"
"169160","CD3E"
"169160","CD247"
"169157","PTPRC"
"1947","CLN8"
"169147","C2"
"169147","C4A"
"169147","C4B"
"169147","C1QA"
"169147","C1QB"
"169147","C1QC"
"169147","C1S"
"169147","C1R"
"169142","CEBPE"
"169142","SMARCD2"
"596","MTM1"
"610","COL6A1"
"610","COL6A2"
"610","COL6A3"
"610","COL12A1"
"169186","TTN"
"169186","SPEG"
"169186","RYR1"
"169186","BIN1"
"464","IKBKG"
"169189","RYR1"
"169189","DNM2"
"169189","MYF6"
"169189","BIN1"
"169189","MTMR14"
"44","PEX2"
"44","PEX1"
"44","PEX10"
"44","PEX12"
"44","PEX13"
"44","PEX14"
"44","PEX16"
"44","PEX19"
"44","PEX26"
"44","PEX3"
"44","PEX5"
"44","PEX6"
"44","PEX11B"
"56","HGD"
"963","AIP"
"963","GPR101"
"1059","TEK"
"22","ALDH5A1"
"29","MVK"
"245","SF3B4"
"30","UMPS"
"36","SUFU"
"36","GLI3"
"36","KIF7"
"915","FGD1"
"2614","LMX1B"
"33","IVD"
"819","DEAF1"
"819","RAI1"
"819","RAI1"
"819","FLII"
"819","IQSEC2"
"168615","AFP"
"168612","AFP"
"1452","RUNX2"
"168629","MASTL"
"168629","CYCS"
"168624","FGFR2"
"193","VPS13B"
"1334","CLEC7A"
"1334","IL17RA"
"1334","IL17F"
"1334","TRAF3IP2"
"1334","IL17RC"
"168583","UTP4"
"1369","SLC25A4"
"1369","AGK"
"168577","SLC2A1"
"168593","TSPYL1"
"168588","H6PD"
"168588","HSD11B1"
"168601","TMPRSS15"
"168598","MAT1A"
"168609","TRMU"
"168609","MT-CO1"
"168609","MT-ND4"
"168609","MT-RNR1"
"168609","MT-TS1"
"168606","ZNF750"
"1154","PIEZO2"
"168558","CYP11A1"
"168563","DHH"
"124","RPL18"
"124","RPS27"
"124","RPL27"
"124","RPS15A"
"124","TSR2"
"124","RPL35"
"124","ADA2"
"124","RPS19"
"124","RPS24"
"124","GATA1"
"124","RPS17"
"124","RPS7"
"124","RPL5"
"124","RPL11"
"124","RPL35A"
"124","RPS10"
"124","RPS26"
"124","RPL26"
"124","RPL15"
"124","RPS29"
"124","RPS28"
"168566","TSFM"
"1310","COL1A1"
"168569","SLC29A3"
"168572","STAC3"
"125","BLM"
"90","ARG1"
"1065","ITPR1"
"1065","PAX6"
"168454","NANS"
"1146","NALCN"
"1146","TNNI2"
"1146","TNNT3"
"1146","TPM2"
"1146","MYH3"
"1146","MYBPC1"
"1143","ERGIC1"
"1147","NALCN"
"1147","TNNI2"
"1147","TNNT3"
"1147","TPM2"
"1147","MYH3"
"246","DHODH"
"1775","DKC1"
"1775","TERT"
"1775","TERC"
"1775","TINF2"
"1775","NOP10"
"1775","NHP2"
"1775","USB1"
"1775","WRAP53"
"1775","CTC1"
"1775","RTEL1"
"1775","PARN"
"1764","ELP1"
"235","LIG4"
"235","NSUN2"
"239","DYM"
"395","MTHFR"
"147","CPS1"
"23","ASL"
"45","AMPD1"
"45","AMPD3"
"226","QDPR"
"1556","ARL6IP6"
"1496","SLC12A6"
"417","TRPV6"
"417","CASR"
"2248","GJA1"
"2248","NKX2-5"
"2140","ZFPM2"
"2140","GATA6"
"2116","SLC6A19"
"2118","HPD"
"351","CTSA"
"2020","MAP3K20"
"2020","ACTA1"
"2020","SELENON"
"2020","TPM2"
"2020","TPM3"
"2020","MYL2"
"2020","ITGA7"
"2020","HACD1"
"2053","NALCN"
"2053","MYH3"
"1933","SUCLA2"
"1880","MYH7"
"1885","FBN1"
"1885","ADAMTSL4"
"635","MYCN"
"635","LMO1"
"635","PHOX2B"
"635","TOP2A"
"635","ALK"
"635","ALK"
"635","HACE1"
"635","LIN28B"
"2612","HRAS"
"2612","KRAS"
"2612","NRAS"
"2635","TRPV4"
"606","CNBP"
"705","SLC26A4"
"705","KCNJ10"
"705","FOXI1"
"2801","TNFRSF11B"
"2801","TNFRSF11A"
"2785","CA2"
"2744","ROBO3"
"2746","INPPL1"
"2971","ACOX1"
"2970","CHRM3"
"744","PTEN"
"744","AKT1"
"2903","FLCN"
"2901","SEPT9"
"718","SOX9"
"3071","HRAS"
"763","CTSK"
"2301","FLNA"
"2301","CLMP"
"469","ALDOB"
"2308","FLI1"
"2318","CEP290"
"2318","CC2D2A"
"2318","TMEM216"
"2318","TMEM237"
"2318","TMEM138"
"2318","ZNF423"
"2318","TMEM231"
"2253","PAX6"
"180188","PTPRF"
"2300","TTC7A"
"502","TRPS1"
"502","EXT1"
"477","GJB2"
"477","GJB6"
"2343","ERF"
"2377","PNPLA6"
"2466","L1CAM"
"560","COL11A1"
"587","MLH1"
"587","MSH2"
"587","MSH6"
"570","PLXND1"
"570","REV3L"
"179494","LEPR"
"287","COL5A2"
"287","COL5A1"
"287","COL1A1"
"1020","ABCA7"
"1020","TREM2"
"1020","PSEN1"
"1020","PSEN2"
"1020","APP"
"1020","SORL1"
"1020","TOMM40"
"54","GPR143"
"154","TAF1A"
"154","NEBL"
"154","PPCS"
"154","CAP2"
"154","ABCC9"
"154","ACTC1"
"154","PSEN1"
"154","PSEN2"
"154","SCN5A"
"154","SDHA"
"154","SGCD"
"154","TAZ"
"154","TCAP"
"154","TNNI3"
"154","TNNT2"
"154","TPM1"
"154","TTN"
"154","CRYAB"
"154","CSRP3"
"154","DES"
"154","DMD"
"154","DSG2"
"154","FKTN"
"154","LDB3"
"154","DOLK"
"154","MYBPC3"
"154","MYH6"
"154","MYH7"
"154","RAF1"
"154","TMPO"
"154","TNNC1"
"154","VCL"
"154","ACTN2"
"154","FHL2"
"154","PLN"
"154","BAG3"
"154","RBM20"
"154","NEXN"
"154","TXNRD2"
"154","GATAD1"
"154","MYPN"
"154","LAMA4"
"154","PRDM16"
"154","ANKRD1"
"84","RAD51"
"84","MAD2L2"
"84","BRCA1"
"84","XRCC2"
"84","RFWD3"
"84","BRCA2"
"84","BRIP1"
"84","ERCC4"
"84","FANCA"
"84","FANCB"
"84","FANCC"
"84","FANCD2"
"84","FANCE"
"84","FANCF"
"84","FANCG"
"84","FANCL"
"84","FANCM"
"84","FANCI"
"84","PALB2"
"84","RAD51C"
"84","SLX4"
"84","UBE2T"
"816","ALDH3A2"
"821","NSD1"
"821","SETD2"
"821","APC2"
"3204","ORAI1"
"3204","STIM1"
"3205","GNAQ"
"3320","RBM8A"
"887","HOXD13"
"909","CYP27A1"
"3447","EED"
"3447","NSD1"
"3447","EZH2"
"3447","SUZ12"
"1422","HHAT"
"178469","BRSK2"
"178469","CLTC"
"178469","CHAMP1"
"178469","HIVEP2"
"178469","KDM5B"
"178469","MYT1L"
"178469","SET"
"178469","RAB11A"
"178469","PPP3CA"
"178469","KCNQ5"
"178469","ZMYND11"
"178469","STXBP1"
"178469","CIC"
"178469","CSNK2B"
"178469","CUX1"
"178469","TCF4"
"178469","SYNGAP1"
"178469","KIRREL3"
"178469","DOCK8"
"178469","MBD5"
"178469","GRIN2B"
"178469","CDH15"
"178469","KIF1A"
"178469","GRIN1"
"178469","DYNC1H1"
"178469","CACNG2"
"178469","EPB41L1"
"178469","DEAF1"
"178469","EEF1A2"
"178469","CAMK2A"
"178469","CAMK2B"
"178461","FHL1"
"178464","TTN"
"178396","SERPINA1"
"178400","DYSF"
"178389","TNFRSF11A"
"62","SGCA"
"178364","OTX2"
"715","PHKA1"
"715","PHKG1"
"178377","LRP5"
"348","FBP1"
"178345","CYP19A1"
"178355","DYM"
"178355","RAB33B"
"178338","ERCC6"
"178338","ERCC8"
"178338","UVSSA"
"178342","TPM3"
"178342","ALK"
"178342","RANBP2"
"178342","CLTC"
"178342","CARS"
"178342","TPM4"
"117","IL10"
"117","HLA-B"
"117","FAS"
"117","UBAC2"
"117","IL23R"
"117","MEFV"
"117","STAT4"
"117","C4A"
"117","IL12A"
"117","TLR4"
"117","CCR1"
"117","KLRC4"
"117","IL12A-AS1"
"117","ERAP1"
"178509","DCTN1"
"178506","FARSB"
"177926","F8"
"177929","F9"
"177901","SNORD115@"
"177901","SNRPN"
"177901","MAGEL2"
"177901","NDN"
"177901","OCA2"
"177901","SNORD116@"
"423","RYR1"
"423","CACNA1S"
"177904","SNORD115@"
"177904","SNRPN"
